p,dependencies,identifier
0.0,1,583
0.0045871559633027525,1,212
0.009174311926605505,1,3182
0.013761467889908258,1,129
0.01834862385321101,1,694
0.022935779816513763,1,234
0.027522935779816515,1,145
0.03211009174311927,1,3553
0.03669724770642202,1,513
0.04128440366972477,1,2729
0.045871559633027525,1,965
0.05045871559633028,1,2088
0.05504587155963303,1,2522
0.05963302752293578,1,3211
0.06422018348623854,1,3789
0.06880733944954129,1,1519
0.07339449541284404,1,1449
0.0779816513761468,1,1025
0.08256880733944955,1,303
0.0871559633027523,1,204
0.09174311926605505,1,248
0.0963302752293578,1,121
0.10091743119266056,1,172
0.10550458715596331,1,880
0.11009174311926606,1,1086
0.11467889908256881,1,745
0.11926605504587157,1,1574
0.12385321100917432,1,1999
0.12844036697247707,1,123
0.13302752293577982,1,3750
0.13761467889908258,1,986
0.14220183486238533,1,1982
0.14678899082568808,1,1056
0.15137614678899083,1,2210
0.1559633027522936,1,267
0.16055045871559634,1,69
0.1651376146788991,1,639
0.16972477064220184,1,3903
0.1743119266055046,1,1869
0.17889908256880735,1,2786
0.1834862385321101,1,1150
0.18807339449541285,1,993
0.1926605504587156,1,193
0.19724770642201836,1,1151
0.2018348623853211,1,1207
0.20642201834862386,1,2250
0.21100917431192662,1,474
0.21559633027522937,1,392
0.22018348623853212,1,3472
0.22477064220183487,1,254
0.22935779816513763,1,1303
0.23394495412844038,1,607
0.23853211009174313,1,21
0.24311926605504589,1,62
0.24770642201834864,1,1997
0.25229357798165136,1,1212
0.25688073394495414,1,2761
0.26146788990825687,1,2611
0.26605504587155965,1,387
0.2706422018348624,1,2680
0.27522935779816515,1,2836
0.2798165137614679,1,3654
0.28440366972477066,1,1421
0.2889908256880734,1,165
0.29357798165137616,1,3562
0.2981651376146789,1,1981
0.30275229357798167,1,299
0.3073394495412844,1,635
0.3119266055045872,1,178
0.3165137614678899,1,301
0.3211009174311927,1,2365
0.3256880733944954,1,3212
0.3302752293577982,1,565
0.3348623853211009,1,325
0.3394495412844037,2,1423
0.3440366972477064,2,984
0.3486238532110092,2,3739
0.3532110091743119,2,491
0.3577981651376147,2,3471
0.3623853211009174,2,347
0.3669724770642202,2,3655
0.37155963302752293,2,98
0.3761467889908257,2,3352
0.38073394495412843,2,1323
0.3853211009174312,2,587
0.38990825688073394,2,155
0.3944954128440367,2,1308
0.39908256880733944,2,2847
0.4036697247706422,2,375
0.40825688073394495,2,781
0.41284403669724773,2,577
0.41743119266055045,2,1772
0.42201834862385323,2,82
0.42660550458715596,2,2730
0.43119266055045874,2,424
0.43577981651376146,2,78
0.44036697247706424,2,2050
0.44495412844036697,2,235
0.44954128440366975,2,83
0.4541284403669725,2,2572
0.45871559633027525,2,92
0.463302752293578,2,198
0.46788990825688076,2,239
0.4724770642201835,2,935
0.47706422018348627,2,2035
0.481651376146789,2,2343
0.48623853211009177,2,22
0.4908256880733945,3,779
0.4954128440366973,3,115
0.5,3,2845
0.5045871559633027,3,1146
0.5091743119266054,3,488
0.5137614678899083,3,1514
0.518348623853211,3,250
0.5229357798165137,3,1561
0.5275229357798165,3,2163
0.5321100917431193,3,864
0.536697247706422,3,2005
0.5412844036697247,3,3017
0.5458715596330275,4,3018
0.5504587155963303,4,1154
0.555045871559633,4,446
0.5596330275229358,4,2013
0.5642201834862385,4,327
0.5688073394495413,4,252
0.573394495412844,4,1006
0.5779816513761468,4,74
0.5825688073394495,4,1028
0.5871559633027523,4,2868
0.591743119266055,4,331
0.5963302752293578,4,53
0.6009174311926605,4,1249
0.6055045871559633,4,597
0.6100917431192661,4,676
0.6146788990825688,4,4
0.6192660550458715,4,832
0.6238532110091743,5,2084
0.6284403669724771,5,326
0.6330275229357798,5,249
0.6376146788990825,5,1627
0.6422018348623854,5,184
0.6467889908256881,5,1329
0.6513761467889908,5,291
0.6559633027522935,5,3791
0.6605504587155964,5,94
0.6651376146788991,5,1149
0.6697247706422018,5,321
0.6743119266055045,5,1214
0.6788990825688074,5,167
0.6834862385321101,6,481
0.6880733944954128,6,84
0.6926605504587156,6,255
0.6972477064220184,6,364
0.7018348623853211,6,48
0.7064220183486238,6,30
0.7110091743119266,6,95
0.7155963302752294,7,24
0.7201834862385321,7,1242
0.7247706422018348,7,977
0.7293577981651376,7,716
0.7339449541284404,7,1178
0.7385321100917431,7,780
0.7431192660550459,8,59
0.7477064220183486,8,87
0.7522935779816514,8,2149
0.7568807339449541,8,1277
0.7614678899082569,8,3788
0.7660550458715596,9,710
0.7706422018348624,9,1320
0.7752293577981652,9,224
0.7798165137614679,10,1842
0.7844036697247706,10,482
0.7889908256880734,10,954
0.7935779816513762,10,270
0.7981651376146789,10,55
0.8027522935779816,10,3149
0.8073394495412844,10,7
0.8119266055045872,10,126
0.8165137614678899,10,63
0.8211009174311926,11,1088
0.8256880733944955,11,264
0.8302752293577982,11,429
0.8348623853211009,12,3
0.8394495412844036,13,655
0.8440366972477065,14,5
0.8486238532110092,14,60
0.8532110091743119,15,355
0.8577981651376146,15,12
0.8623853211009175,15,177
0.8669724770642202,16,3280
0.8715596330275229,16,17
0.8761467889908257,16,119
0.8807339449541285,17,13
0.8853211009174312,18,42
