peers,peers_seen_r,dependencies,ix_id
2,0.5,4,3655
2,0.5,5,1028
3,0.3333333333333333,3,635
3,0.3333333333333333,9,3791
4,0.5,131,1533
12,0.08333333333333333,116,82
16,0.5625,3,252
18,0.05555555555555555,5,3182
18,0.2777777777777778,4,2013
20,0.05,3,92
23,0.043478260869565216,3,3471
24,0.4166666666666667,7,2766
25,0.04,44,1978
25,0.2,8,1329
26,0.3076923076923077,3,364
26,0.34615384615384615,4,935
33,0.48484848484848486,3,424
35,0.34285714285714286,9,1178
35,0.6571428571428571,6,1320
39,0.1282051282051282,6,235
40,0.1,3,1025
43,0.023255813953488372,8,1561
50,0.02,176,1977
52,0.2692307692307692,5,3018
52,0.36538461538461536,12,3149
62,0.016129032258064516,4,1006
65,0.12307692307692308,4,1242
71,0.8450704225352113,16,55
72,0.08333333333333333,6,2730
76,0.7631578947368421,40,355
78,0.01282051282051282,13,224
78,0.6025641025641025,4,240
93,0.6666666666666666,94,4
98,0.6122448979591837,24,7
99,0.010101010101010102,3,48
99,0.45454545454545453,164,699
101,0.45544554455445546,4,270
111,0.26126126126126126,7,250
124,0.5887096774193549,7,12
127,0.36220472440944884,4,184
130,0.7461538461538462,5,713
132,0.3787878787878788,7,446
132,0.6439393939393939,6,1088
142,0.795774647887324,8,71
144,0.8194444444444444,23,50
145,0.5172413793103449,3,63
146,0.6986301369863014,13,954
148,0.2702702702702703,9,1514
148,0.7027027027027027,15,119
158,0.06329113924050633,3,1323
159,0.3710691823899371,5,482
167,0.3652694610778443,3,327
168,0.42857142857142855,25,17
173,0.5606936416184971,8,655
174,0.5057471264367817,5,1277
176,0.5,7,429
194,0.36082474226804123,3,1842
199,0.3417085427135678,4,125
199,0.4472361809045226,4,264
205,0.2780487804878049,4,1214
207,0.07729468599033816,4,2084
212,0.6179245283018868,22,14
214,0.45794392523364486,35,5
218,0.591743119266055,44,94
218,0.7155963302752294,13,716
224,0.6205357142857143,15,60
235,0.3659574468085106,3,53
238,0.6008403361344538,9,780
244,0.6639344262295082,21,804
245,0.004081632653061225,3,30
246,0.6707317073170732,112,2
255,0.6588235294117647,23,24
259,0.5328185328185329,3,255
282,0.5780141843971631,142,142
290,0.7241379310344828,37,42
314,0.4426751592356688,5,358
315,0.4222222222222222,8,100
327,0.012232415902140673,4,474
328,0.7042682926829268,6,321
335,0.08656716417910448,4,123
342,0.6286549707602339,6,35
345,0.4927536231884058,33,3788
355,0.6422535211267606,34,13
367,0.02452316076294278,3,210
373,0.4772117962466488,10,710
379,0.021108179419525065,4,375
394,0.5888324873096447,37,158
395,0.6987341772151898,22,359
397,0.8337531486146096,18,177
400,0.565,31,64
406,0.009852216748768473,3,491
441,0.045351473922902494,6,832
470,0.6297872340425532,14,592
