peers,peers_seen_r,dependencies,ix_id
2,0.5,1,3750
2,0.5,1,602
3,0.3333333333333333,1,1151
3,0.3333333333333333,1,2050
3,0.3333333333333333,1,2124
3,0.3333333333333333,1,2611
3,0.3333333333333333,1,3117
4,0.25,1,993
5,0.2,2,1982
6,0.16666666666666666,1,2250
6,0.5,1,1421
7,0.14285714285714285,1,514
7,0.14285714285714285,2,1663
8,0.125,1,3384
9,0.2222222222222222,2,1679
10,0.1,1,1981
12,0.08333333333333333,1,1019
13,0.23076923076923078,1,2729
14,0.07142857142857142,2,1262
15,0.06666666666666667,1,1508
15,0.06666666666666667,1,1790
15,0.06666666666666667,1,89
16,0.1875,1,2004
17,0.058823529411764705,1,1423
17,0.058823529411764705,1,3168
17,0.058823529411764705,2,2299
17,0.11764705882352941,1,2836
18,0.05555555555555555,1,2353
18,0.05555555555555555,2,93
19,0.21052631578947367,1,1002
20,0.05,1,983
20,0.05,2,3739
20,0.1,1,1212
20,0.2,1,833
20,0.25,2,1154
21,0.19047619047619047,1,3473
22,0.045454545454545456,1,3903
22,0.22727272727272727,1,2815
23,0.043478260869565216,1,43
24,0.2916666666666667,1,1180
25,0.04,1,267
26,0.07692307692307693,1,694
26,0.3076923076923077,1,2496
27,0.48148148148148145,1,212
28,0.21428571428571427,1,350
28,0.39285714285714285,1,23
29,0.27586206896551724,1,2289
32,0.3125,1,1684
33,0.48484848484848486,1,1023
34,0.029411764705882353,2,372
34,0.14705882352941177,1,198
35,0.2571428571428571,1,2365
37,0.3783783783783784,2,326
40,0.475,2,1209
40,0.475,2,84
43,0.023255813953488372,2,33
44,0.25,1,1150
44,0.3409090909090909,1,29
44,0.5681818181818182,1,1146
47,0.0851063829787234,1,3352
50,0.16,1,128
51,0.43137254901960786,2,3562
55,0.12727272727272726,1,3472
56,0.07142857142857142,1,2452
56,0.14285714285714285,1,2680
56,0.4642857142857143,2,236
57,0.24561403508771928,1,565
60,0.016666666666666666,1,59
60,0.1,1,291
61,0.5737704918032787,2,1207
62,0.1935483870967742,1,1308
63,0.25396825396825395,2,488
65,0.26153846153846155,1,239
65,0.36923076923076925,2,1997
66,0.2878787878787879,1,863
68,0.4411764705882353,1,639
71,0.4084507042253521,2,325
72,0.5277777777777778,2,254
74,0.581081081081081,2,69
84,0.4523809523809524,1,823
86,0.47674418604651164,1,781
88,0.011363636363636364,1,21
91,0.5384615384615384,2,331
92,0.7065217391304348,2,977
102,0.3235294117647059,2,115
102,0.6372549019607843,1,676
109,0.25688073394495414,1,172
109,0.30275229357798167,1,513
115,0.2956521739130435,2,1249
115,0.3652173913043478,1,969
117,0.4017094017094017,1,91
122,0.47540983606557374,1,583
123,0.5365853658536586,1,167
124,0.0967741935483871,2,2163
128,0.390625,1,249
134,0.1791044776119403,1,121
153,0.5490196078431373,1,2035
157,0.4968152866242038,1,2149
169,0.34911242603550297,2,2846
174,0.3390804597701149,1,248
174,0.40804597701149425,2,70
187,0.4385026737967914,1,3
196,0.37244897959183676,1,173
199,0.4472361809045226,1,95
206,0.46116504854368934,1,3017
212,0.04716981132075472,2,1627
279,0.4050179211469534,1,126
