peers,peers_seen_r,dependencies,ix_id
2,0.5,4,1028
3,0.3333333333333333,5,3791
4,0.5,96,1533
7,0.14285714285714285,16,3280
8,0.5,3,864
16,0.75,4,252
18,0.2777777777777778,4,2013
20,0.5,4,1154
25,0.04,20,1978
25,0.36,5,1329
26,0.6153846153846154,6,364
35,0.7142857142857143,7,1178
35,0.7142857142857143,9,1320
37,0.6756756756756757,5,326
40,0.9,6,84
43,0.023255813953488372,3,1561
44,0.75,3,1146
46,0.021739130434782608,3,2005
50,0.02,118,1977
52,0.4807692307692308,10,3149
52,0.5769230769230769,4,3018
60,0.016666666666666666,8,59
60,0.7,5,291
60,0.8333333333333334,4,2868
62,0.016129032258064516,4,1006
63,0.6190476190476191,3,488
65,0.5538461538461539,7,1242
71,0.8169014084507042,10,55
73,0.6986301369863014,3,2845
76,0.6973684210526315,15,355
78,0.01282051282051282,9,224
91,0.7582417582417582,4,331
92,0.7391304347826086,7,977
93,0.7849462365591398,4,4
94,0.7659574468085106,5,1149
98,0.7142857142857143,10,7
99,0.010101010101010102,6,48
101,0.7722772277227723,10,270
102,0.7156862745098039,3,115
102,0.8235294117647058,4,676
103,0.7281553398058253,6,481
111,0.6756756756756757,3,250
115,0.8,4,1249
123,0.7560975609756098,5,167
124,0.2661290322580645,3,2163
124,0.7419354838709677,15,12
125,0.712,8,87
127,0.7559055118110236,5,184
128,0.453125,5,249
130,0.6846153846153846,3,779
130,0.9153846153846154,51,713
132,0.7045454545454546,4,446
132,0.7045454545454546,11,1088
144,0.8402777777777778,72,50
145,0.7724137931034483,10,63
146,0.726027397260274,10,954
148,0.4864864864864865,3,1514
148,0.722972972972973,16,119
157,0.643312101910828,8,2149
159,0.6729559748427673,10,482
166,0.6867469879518072,4,74
167,0.7245508982035929,4,327
168,0.47023809523809523,16,17
169,0.834319526627219,29,2846
173,0.7052023121387283,13,655
174,0.7586206896551724,8,1277
174,0.8390804597701149,75,70
176,0.8181818181818182,11,429
187,0.7486631016042781,12,3
194,0.5360824742268041,10,1842
199,0.7788944723618091,11,264
199,0.8391959798994975,6,95
205,0.5853658536585366,5,1214
206,0.6456310679611651,3,3017
207,0.17391304347826086,5,2084
212,0.5754716981132075,5,1627
212,0.7594339622641509,97,14
214,0.794392523364486,14,5
218,0.7201834862385321,5,94
218,0.7385321100917431,7,716
224,0.7589285714285714,14,60
235,0.8,4,53
238,0.8613445378151261,7,780
245,0.004081632653061225,6,30
246,0.5365853658536586,4,597
246,0.7804878048780488,18,2
255,0.7058823529411765,7,24
259,0.7027027027027027,6,255
279,0.6451612903225806,10,126
282,0.74822695035461,19,142
290,0.8172413793103448,18,42
314,0.6528662420382165,61,358
328,0.7591463414634146,5,321
342,0.8304093567251462,30,35
345,0.4579710144927536,8,3788
355,0.7464788732394366,17,13
373,0.7828418230563002,9,710
394,0.8705583756345178,141,158
395,0.8075949367088607,53,359
397,0.8387909319899244,15,177
400,0.67,77,64
441,0.5011337868480725,4,832
470,0.6297872340425532,24,592
2246,0.6736420302760463,178,171
