ix_id,asn,ip,count,overall_percentage,ixp_percentage
1,0,206.126.236.42,1976,0.003453651188326044,0.017991293889060365
1,0,206.126.236.99,116,0.00020274470538756128,0.0010561690744590093
1,0,206.126.237.45,10,1.7477991843755282e-05,9.104905814301804e-05
1,0,206.126.239.192,23,4.019938124063715e-05,0.00020941283372894148
1,0,206.126.236.255,236,0.0004124806075126247,0.0021487577721752255
1,0,206.126.236.19,1,1.7477991843755283e-06,9.104905814301804e-06
1,0,206.126.238.72,17,2.971258613438398e-05,0.00015478339884313067
1,0,206.126.237.105,13,2.2721389396881867e-05,0.00011836377558592345
1,0,206.126.237.119,7,1.2234594290628698e-05,6.373434070011262e-05
1,0,206.126.239.69,3,5.243397553126584e-06,2.731471744290541e-05
1,0,206.126.239.81,3,5.243397553126584e-06,2.731471744290541e-05
1,10297,206.126.236.81,4,6.991196737502113e-06,3.6419623257207215e-05
1,10310,206.126.236.16,315,0.0005505567430782914,0.0028680453315050682
1,10310,206.126.236.2,296,0.0005173485585751563,0.0026950521210333343
1,10310,206.126.238.39,9,1.5730192659379752e-05,8.194415232871624e-05
1,10310,206.126.238.40,14,2.4469188581257397e-05,0.00012746868140022525
1,10423,206.126.238.57,6,1.0486795106253169e-05,5.462943488581082e-05
1,109,206.126.237.85,81,0.00014157173393441777,0.0007374973709584461
1,11039,206.126.236.172,15,2.6216987765632926e-05,0.00013657358721452705
1,11114,206.126.236.15,65,0.00011360694698440934,0.0005918188779296173
1,11164,206.126.236.45,2537,0.004434166530760715,0.023099146050883677
1,11279,206.126.237.48,31,5.418177471564138e-05,0.00028225208024335594
1,11377,206.126.238.13,8,1.3982393475004226e-05,7.283924651441443e-05
1,11377,206.126.237.61,13,2.2721389396881867e-05,0.00011836377558592345
1,11686,206.126.237.198,19,3.320818450313504e-05,0.00017299321047173428
1,11742,206.126.237.116,10,1.7477991843755282e-05,9.104905814301804e-05
1,11796,206.126.236.57,143,0.00024993528336570054,0.001302001531445158
1,12041,206.126.236.41,553,0.0009665329489596671,0.005035012915308897
1,12083,206.126.236.136,8628,0.015080011362792058,0.07855712736579597
1,12085,206.126.237.248,300,0.0005243397553126584,0.002731471744290541
1,12085,206.126.237.249,150,0.0002621698776563292,0.0013657358721452706
1,12129,206.126.236.70,435,0.0007602926452033548,0.0039606340292212844
1,12189,206.126.237.26,825,0.0014419343271098108,0.0075115472967989885
1,12200,206.126.236.151,474,0.0008284568133940004,0.004315725355979055
1,12322,206.126.236.160,2,3.4955983687510565e-06,1.8209811628603607e-05
1,1239,206.126.236.84,1058,0.0018491715370693089,0.009632990351531309
1,12684,206.126.236.53,118,0.00020624030375631234,0.0010743788860876128
1,1273,206.126.236.73,556,0.0009717763465127937,0.005062327632751803
1,12956,206.126.236.107,129,0.00022546609478444314,0.0011745328500449327
1,13030,206.126.238.81,18,3.1460385318759505e-05,0.00016388830465743247
1,132203,206.126.238.36,78,0.0001363283363812912,0.0007101826535155407
1,132203,206.126.238.37,90,0.00015730192659379753,0.0008194415232871624
1,13285,206.126.237.64,13,2.2721389396881867e-05,0.00011836377558592345
1,13335,206.126.237.30,663,0.0011587908592409753,0.006036552554882097
1,13335,206.126.237.66,83,0.00014506733230316884,0.0007557071825870497
1,13414,206.126.236.97,1,1.7477991843755283e-06,9.104905814301804e-06
1,13445,206.126.236.132,31,5.418177471564138e-05,0.00028225208024335594
1,13489,206.126.237.53,16,2.7964786950008452e-05,0.00014567849302882886
1,13760,206.126.236.36,314,0.0005488089438939158,0.0028589404256907664
1,13768,206.126.236.30,1225,0.002141054000860022,0.01115350962251971
1,13786,206.126.236.247,472,0.0008249612150252494,0.004297515544350451
1,138915,206.126.239.64,27,4.719057797813927e-05,0.0002458324569861487
1,13896,206.126.238.31,17,2.971258613438398e-05,0.00015478339884313067
1,13984,206.126.236.79,76,0.00013283273801254015,0.0006919728418869371
1,14340,206.126.236.165,63,0.00011011134861565829,0.0005736090663010136
1,14361,206.126.236.91,693,0.001211224834772241,0.006309699729311151
1,14609,206.126.239.254,4,6.991196737502113e-06,3.6419623257207215e-05
1,14630,206.126.238.24,3,5.243397553126584e-06,2.731471744290541e-05
1,14713,206.126.238.49,10,1.7477991843755282e-05,9.104905814301804e-05
1,14829,206.126.237.104,12,2.0973590212506338e-05,0.00010925886977162164
1,14860,206.126.238.1,12,2.0973590212506338e-05,0.00010925886977162164
1,14907,206.126.236.221,10,1.7477991843755282e-05,9.104905814301804e-05
1,15133,206.126.236.112,80,0.00013982393475004225,0.0007283924651441444
1,15169,206.126.236.21,105,0.00018351891435943048,0.0009560151105016895
1,15169,206.126.237.242,230,0.00040199381240637146,0.002094128337289415
1,15211,206.126.237.145,3,5.243397553126584e-06,2.731471744290541e-05
1,15211,206.126.237.146,2,3.4955983687510565e-06,1.8209811628603607e-05
1,15224,206.126.237.50,1,1.7477991843755283e-06,9.104905814301804e-06
1,15305,206.126.236.196,91,0.00015904972577817308,0.0008285464291014641
1,15412,206.126.236.141,1914,0.003345287638894761,0.01742678972857365
1,15695,206.126.237.151,16,2.7964786950008452e-05,0.00014567849302882886
1,16265,206.126.236.240,202,0.0003530554352438567,0.0018391909744889644
1,16276,206.126.236.184,41,7.165976655939666e-05,0.00037330113838637396
1,16509,206.126.236.35,756,0.0013213361833878993,0.006883308795612164
1,16509,206.126.236.68,487,0.0008511782027908822,0.004434089131564978
1,16552,206.126.238.92,2,3.4955983687510565e-06,1.8209811628603607e-05
1,16559,206.126.236.26,38,6.641636900627008e-05,0.00034598642094346856
1,16591,206.126.237.101,77,0.00013458053719691567,0.0007010777477012389
1,16735,206.126.236.205,143,0.00024993528336570054,0.001302001531445158
1,17012,206.126.237.163,3,5.243397553126584e-06,2.731471744290541e-05
1,17012,206.126.237.162,2,3.4955983687510565e-06,1.8209811628603607e-05
1,17054,206.126.237.36,295,0.0005156007593907809,0.0026859472152190324
1,17117,206.126.238.206,2,3.4955983687510565e-06,1.8209811628603607e-05
1,17310,206.126.237.128,25,4.369497960938821e-05,0.0002276226453575451
1,17350,206.126.238.209,5,8.738995921877641e-06,4.552452907150902e-05
1,17350,206.126.238.208,10,1.7477991843755282e-05,9.104905814301804e-05
1,17378,206.126.237.127,130,0.00022721389396881868,0.0011836377558592345
1,17978,206.126.237.166,14,2.4469188581257397e-05,0.00012746868140022525
1,18106,206.126.237.54,21,3.670378287188609e-05,0.00019120302210033787
1,1820,206.126.236.4,228,0.0003984982140376205,0.0020759185256608113
1,1828,206.126.238.22,1273,0.0022249483617100474,0.011590545101606196
1,18568,206.126.236.250,6,1.0486795106253169e-05,5.462943488581082e-05
1,18888,206.126.236.222,7,1.2234594290628698e-05,6.373434070011262e-05
1,19009,206.126.237.117,756,0.0013213361833878993,0.006883308795612164
1,19108,206.126.236.72,908,0.0015870016594129797,0.008267254479386038
1,19151,206.126.236.47,900,0.0015730192659379751,0.008194415232871623
1,19551,206.126.237.203,441,0.0007707794403096079,0.0040152634641070955
1,19653,206.126.236.134,60,0.0001048679510625317,0.0005462943488581082
1,19679,206.126.236.74,29,5.068617634689032e-05,0.0002640422686147523
1,19750,206.126.238.110,10,1.7477991843755282e-05,9.104905814301804e-05
1,19783,206.126.238.23,12,2.0973590212506338e-05,0.00010925886977162164
1,197981,206.126.236.129,4,6.991196737502113e-06,3.6419623257207215e-05
1,199524,206.126.237.22,198,0.00034606423850635457,0.001802771351231757
1,20021,206.126.238.74,88,0.0001538063282250465,0.0008012317116585587
1,20115,206.126.236.115,1556,0.002719575530888322,0.014167233447053606
1,20340,206.126.237.177,8,1.3982393475004226e-05,7.283924651441443e-05
1,206264,206.126.237.40,2,3.4955983687510565e-06,1.8209811628603607e-05
1,20940,206.126.236.102,490,0.0008564216003440088,0.004461403849007884
1,20940,206.126.236.103,28,4.893837716251479e-05,0.0002549373628004505
1,21808,206.126.236.10,28,4.893837716251479e-05,0.0002549373628004505
