bin_timestamp,num_tr,target_ix,target_no_ix,no_target_ix,no_target_no_ix,target_ix_rtt_count,target_ix_rtt_avg,target_no_ix_rtt_count,target_no_ix_rtt_avg
1700611200,42320,42283,21,1,15,42271,76.96842775952439,21,289.6548650793651
1700612100,45361,45299,32,8,22,45276,80.95197061754476,21,497.286007936508
1700613000,44061,44031,11,1,18,44020,78.13829829540906,11,84.19860606060605
1700613900,44090,43951,17,7,115,43949,78.19670625919859,17,79.14245098039216
1700614800,44088,43938,20,8,122,43926,78.25924471036073,20,106.20901666666666
1700615700,43998,43851,24,8,115,43848,77.36650216835842,24,92.28519444444447
1700616600,44040,43877,38,8,117,43866,78.14837596610637,37,87.62292792792792
1700617500,46983,46730,99,41,113,46727,74.81561670546552,99,74.22310774410775
1700618400,44032,43716,50,139,127,43704,78.67033496718629,50,130.73693
1700619300,44064,43913,33,6,112,43910,76.97850011489594,33,88.29919191919193
1700620200,43921,43756,47,6,112,43745,78.15915035974383,47,87.82533687943261
1700621100,43981,43815,45,7,114,43811,78.84889649129025,45,87.09297777777776
1700622000,43981,43810,45,10,116,43797,77.81118129211463,45,68.75414814814813
1700622900,43938,43771,42,9,116,43766,77.23188475984409,42,80.61078968253968
1700623800,44031,43854,48,7,122,43841,78.30818978236043,48,112.76648611111112
1700624700,47034,46819,91,7,117,46813,75.496047587454,91,54.08635714285714
1700625600,44076,43837,105,10,124,43826,80.58651144551217,105,119.24300476190477
1700626500,44064,43881,53,9,121,43878,77.33136360853089,53,82.01985534591196
1700627400,43992,43791,69,9,123,43780,77.92371375567312,69,95.28005555555552
1700628300,44103,43922,49,8,124,43919,79.67921487301626,49,102.1995782312925
1700629200,44011,43821,62,9,119,43810,77.5960086640426,62,114.1861989247312
1700630100,43918,43742,52,9,115,43739,77.50407311380006,52,99.92582371794872
1700631000,43901,43714,68,7,112,43703,77.53932703846687,68,130.53764215686272
1700631900,46959,46710,120,8,121,46707,73.98012543091234,120,87.79514444444443
1700632800,42367,41996,114,122,135,41985,79.35702854789436,114,175.76115350877194
1700633700,44047,43852,66,7,122,43850,77.16284498738757,66,124.84880555555557
1700634600,43979,43776,77,7,119,43759,77.9166988222499,77,150.45325108225111
1700635500,44044,43845,69,8,122,43842,77.38579013019115,69,125.26366666666668
1700636400,44080,43864,83,12,121,43853,77.4790342341675,83,131.10694377510038
1700637300,43970,43758,74,9,129,43748,80.77646550488404,74,267.47711261261264
1700638200,44010,43758,107,11,134,43747,77.77945920648403,107,219.9663909657321
1700639100,47037,46684,113,108,132,46681,75.34899971236497,113,86.90729498525073
1700640000,43935,43667,106,39,123,43656,78.23090927565251,106,103.47692138364782
1700640900,43920,43576,176,38,130,43574,77.08022873753686,176,78.43654545454552
1700641800,43874,43628,92,29,125,43616,78.3460961076397,92,125.02265217391304
1700642700,43963,43713,89,28,133,43710,77.89379350281702,89,110.37829026217229
1700643600,44020,43773,94,29,124,43762,78.54311406145301,94,109.68284397163119
1700644500,43986,43715,106,37,128,43707,79.2351685573645,106,117.9095471698114
1700645400,43979,43732,108,15,124,43721,78.66754090036159,108,134.91856944444442
1700646300,47028,46734,158,11,125,46732,75.10593735869608,156,101.33933653846155
1700647200,44050,43786,111,28,125,43773,78.31182579748514,111,145.69439639639637
1700648100,43971,43731,104,12,124,43729,77.48031677197933,104,147.08239743589743
1700649000,43947,43646,163,13,125,43633,80.56610447573333,163,113.13569120654395
1700649900,44068,43702,220,17,129,43699,77.74354833888725,220,96.41798106060607
1700650800,44037,43787,117,14,119,43775,78.37253289326772,116,180.59610775862075
1700651700,43881,43639,108,11,123,43636,77.25124398011951,108,132.60154320987652
1700652600,43924,43677,115,10,122,43666,78.2165924919472,115,138.8588724637681
1700653500,47007,46648,222,9,128,46646,75.32661520701757,222,107.28613663663666
1700654400,44093,43800,162,9,122,43788,78.20428537487687,162,133.96991666666668
