bin_timestamp,num_tr,target_ix,target_no_ix,no_target_ix,no_target_no_ix,target_ix_rtt_count,target_ix_rtt_avg,target_no_ix_rtt_count,target_no_ix_rtt_avg
1523232000,8744,8740,4,0,0,8732,75.18096417391965,4,190.45225
1523232300,6838,6834,4,0,0,6832,71.69597072599518,4,127.06741666666667
1523232600,9102,9101,0,1,0,9099,70.07953751327996,0,0
1523232900,8612,8604,5,1,2,8603,76.29078550118149,5,120.02253333333336
1523233200,6704,6700,2,1,1,6698,70.99888041206336,2,167.9668333333333
1523233500,9006,9002,2,0,2,8999,69.57868811349427,2,199.67266666666666
1523233800,8758,8751,4,2,1,8743,74.98219728163458,4,107.44541666666666
1523234100,6857,6853,1,2,1,6851,71.25488736437512,1,9.96
1523234400,9108,9107,0,0,1,9106,69.55274145252218,0,0
1523234700,8552,8544,3,1,4,8543,76.11029757306189,3,203.7036666666667
1523235000,6699,6696,1,0,2,6694,70.95664677322985,1,71.68666666666667
1523235300,9060,9058,0,2,0,9054,69.25330955010656,0,0
1523235600,8750,8740,5,0,5,8733,75.05720615290674,5,225.6732
1523235900,6837,6827,8,2,0,6825,71.04823860805875,8,199.4306666666667
1523236200,9103,9086,12,1,4,9085,69.93450902586669,12,200.49099999999999
1523236500,8596,8580,12,0,4,8579,76.49944783774328,12,171.91005555555554
1523236800,6719,6711,5,0,3,6709,71.3555852586077,5,107.59446666666665
1523237100,8998,8993,2,1,2,8990,69.56221060437522,2,173.98766666666666
1523237400,8748,8742,5,1,0,8734,75.11033056636909,5,227.60359999999997
1523237700,6869,6854,13,1,1,6852,70.97989448336222,13,120.76844871794871
1523238000,9090,9085,2,0,3,9084,69.69118761925735,2,64.4905
1523238300,8559,8546,10,1,2,8545,76.30754638189997,10,149.13226666666668
1523238600,6686,6673,7,2,4,6671,71.44581779343436,7,143.92592857142859
1523238900,9054,9046,5,0,3,9043,69.49302818017587,5,209.0194
1523239200,8749,8737,6,1,5,8729,75.69141936838925,6,167.585
1523239500,6816,6801,12,0,3,6799,71.01695018875326,12,77.68922222222224
1523239800,9116,9110,2,0,4,9109,69.59194588685187,2,102.86566666666667
1523240100,8580,8567,9,0,4,8566,76.62537421200079,9,144.48307407407407
1523240400,6704,6694,6,1,3,6692,70.91090722753525,6,112.57186111111112
1523240700,9019,9014,1,0,4,9010,69.56487894931577,1,184.30066666666667
1523241000,8754,8740,4,0,10,8733,75.15250591625627,4,236.54383333333334
1523241300,6865,6846,9,1,9,6842,71.2967622040339,9,88.45377777777777
1523241600,9092,9087,1,0,4,9085,69.5778695652174,1,162.19666666666666
1523241900,8547,8528,12,1,6,8527,76.40826549001235,12,163.02438888888886
1523242200,6705,6698,4,0,3,6695,71.56862850385852,4,116.93766666666667
1523242500,9037,9023,9,0,5,9019,69.92304749233095,9,191.8337777777778
1523242800,8762,8749,9,0,4,8741,75.10641907867104,9,206.13037037037037
1523243100,6827,6811,11,1,4,6809,71.13938023204582,11,99.25336363636364
1523243400,9110,9094,11,1,4,9093,69.58074850617693,11,162.59839393939393
1523243700,8592,8570,16,1,5,8569,76.14340862411022,16,181.71368749999996
1523244000,6712,6701,6,1,4,6699,71.20760287605113,6,170.58794444444447
1523244300,9011,8981,24,1,5,8978,69.23959499146055,24,223.62566666666666
1523244600,8756,8740,12,0,4,8732,76.37757711100949,12,210.27683333333334
1523244900,6862,6849,10,1,2,6847,70.60272730149447,10,124.30473333333335
1523245200,9085,9059,21,0,5,9058,69.53582733495251,21,217.46614285714284
1523245500,8560,8533,21,2,4,8532,75.48515287544926,21,189.78109523809525
1523245800,6703,6686,10,1,6,6684,70.64514362657096,10,172.63683333333333
1523246100,9069,9038,19,4,8,9034,69.20259456866614,19,211.6576842105263
1523246400,8760,8742,14,0,4,8735,75.47012947910699,14,210.0077857142857
1523246700,6808,6790,14,1,3,6788,71.49391715772892,14,111.88345238095236
1523247000,9109,9092,12,0,5,9091,69.62018873977941,12,171.0340833333333
1523247300,8587,8563,17,0,7,8562,75.98815179475203,17,180.76286274509806
1523247600,6730,6715,8,0,7,6713,72.86395684989324,8,165.94504166666667
1523247900,9012,8987,13,2,10,8984,69.94515835559542,13,200.2150769230769
1523248200,8754,8732,16,1,5,8724,75.13095472260422,16,198.25837499999997
1523248500,6862,6844,11,0,7,6842,70.86064868946698,11,133.61066666666667
1523248800,9095,9076,12,0,7,9074,69.58385821210777,12,175.81027777777777
1523249100,8535,8503,22,2,8,8502,76.34324099427585,22,163.0972121212121
1523249400,6711,6695,11,0,5,6693,70.90477566113839,11,131.0430606060606
1523249700,9027,9009,12,0,6,9005,69.07022056265046,12,183.35699999999997
1523250000,8788,8768,15,0,5,8760,75.00876042617962,15,193.4724
1523250300,6823,6805,11,1,6,6803,70.90038806408947,11,131.6901515151515
1523250600,9112,9096,12,0,4,9095,69.2985817115631,12,171.24611111111116
1523250900,8600,8573,19,0,8,8572,75.59998922849549,19,178.5729649122807
1523251200,6718,6704,8,1,5,6701,70.72649450330778,8,166.615
1523251500,9008,8991,12,0,5,8988,69.53145950155773,12,183.04513888888889
1523251800,8745,8728,14,0,3,8720,74.7743651567278,14,206.61119047619044
1523252100,6868,6853,12,0,3,6851,70.8423626721158,12,134.63649999999998
1523252400,9113,9098,10,1,4,9097,69.58203189696272,10,184.69766666666663
1523252700,8537,8514,18,1,4,8513,76.33206255139211,18,204.71741666666668
1523253000,6703,6691,9,0,3,6689,70.98113091144673,9,165.9068148148148
1523253300,9062,9040,17,0,5,9036,69.47783563892575,17,187.14633333333333
1523253600,8745,8716,23,2,4,8709,76.13541382477857,23,160.04163768115941
1523253900,6826,6806,15,1,4,6804,74.05036123358813,15,110.37695555555554
1523254200,9115,9098,13,0,4,9097,70.4258745190723,13,164.52864102564106
1523254500,8590,8569,17,1,3,8568,76.74476480314324,17,166.03370588235296
1523254800,6708,6694,10,1,3,6692,71.3977854403268,10,171.08166666666665
1523255100,9006,8986,15,0,5,8982,69.4342707637498,15,208.0877555555555
1523255400,8749,8730,14,1,4,8723,75.96359054606586,14,195.47245238095243
1523255700,6869,6852,13,0,4,6850,71.63449727493929,13,131.42008974358976
1523256000,9089,9074,13,0,2,9073,70.01843285021485,13,197.92034615384617
1523256300,8553,8529,17,2,5,8528,76.83133065587883,17,191.8513725490196
1523256600,6696,6681,8,1,6,6679,71.87018218795232,8,165.81591666666665
1523256900,9042,9022,15,0,5,9019,69.85191201907082,15,205.32626666666664
1523257200,8776,8759,14,0,3,8751,75.44852165466813,14,246.65900000000002
1523257500,6815,6800,11,0,4,6798,71.84019917622837,11,132.5688787878788
1523257800,9101,9078,19,0,4,9077,70.72310555984015,19,144.900649122807
1523258100,8599,8569,23,1,6,8568,76.52445403439144,23,131.5514202898551
1523258400,6703,6685,14,2,2,6683,70.82047456232213,14,101.6426904761905
1523258700,8992,8967,21,0,4,8963,69.76349570456325,21,138.75584920634924
1523259000,8775,8740,28,1,6,8733,75.08334734150203,28,147.02826190476188
1523259300,6854,6831,19,0,4,6827,71.62395246814125,19,87.44900877192983
1523259600,9108,9086,17,0,5,9085,69.24238726839084,17,141.99533333333335
1523259900,8538,8496,32,0,10,8495,75.46571424367293,32,133.02071875
1523260200,6704,6679,21,1,3,6677,70.50461756777003,21,79.87293650793652
1523260500,9057,9030,22,2,3,9026,69.40588107504279,22,121.89015151515152
1523260800,8757,8728,24,1,4,8721,74.55053900546586,24,178.4035
1523261100,6841,6816,20,2,3,6814,71.47244692300178,20,82.4813
1523261400,9082,9059,18,0,5,9058,70.65222582247733,18,135.83946296296295
1523261700,8607,8575,28,0,4,8574,76.49005359225539,28,143.90928571428572
1523262000,6699,6676,20,1,2,6674,71.85541938867246,20,83.96310000000003
1523262300,9007,8984,20,0,3,8981,70.55276186764644,20,131.48453333333333
1523262600,8761,8731,28,0,2,8723,76.34415877565058,28,161.8326071428571
1523262900,6869,6846,21,0,2,6844,71.88766354958109,21,102.17584126984127
1523263200,9103,9073,23,2,5,9072,70.19110819003534,23,150.28800724637682
1523263500,8525,8487,35,0,3,8486,76.80094251315876,35,125.6024095238095
1523263800,6668,6645,20,0,3,6643,71.93389605599906,20,90.18363333333335
