bin_timestamp,num_tr,target_ix,target_no_ix,no_target_ix,no_target_no_ix,target_ix_rtt_count,target_ix_rtt_avg,target_no_ix_rtt_count,target_no_ix_rtt_avg
1616544000,8977,7596,1370,2,9,7580,142.18542510993873,1370,95.47655377128947
1616544300,8034,6823,1193,1,17,6821,129.73947026340207,1193,92.11944272143053
1616544600,6531,5172,1245,4,110,5172,121.01704240783711,1245,87.63467402945112
1616544900,9044,7595,1431,3,15,7593,131.54489343254775,1431,90.86854880037264
1616545200,7082,5898,1165,2,17,5894,122.62518773328777,1165,85.42488254649506
1616545500,8054,6664,1270,3,117,6660,112.05816261261259,1270,90.49415039370072
1616545800,8937,7512,1414,0,11,7510,132.11965628051482,1414,91.32885301744474
1616546100,8039,6850,1177,2,10,6849,124.5434206940179,1177,85.81138615123182
1616546400,6489,5172,1206,3,108,5172,121.0837415571022,1206,86.25899502487556
1616546700,9028,7638,1379,1,10,7636,131.2845612449805,1379,87.71511264201112
1616547000,7116,5932,1174,1,9,5928,122.6036835357621,1174,86.4778516467917
1616547300,8019,6712,1198,2,107,6708,112.11250650964006,1198,86.8668340289371
1616547600,8972,7657,1309,4,2,7655,132.61734907467894,1309,88.1913110516934
1616547900,8043,6904,1130,4,5,6903,124.5031488000388,1130,84.28851312684354
1616548200,6502,5162,1228,7,105,5162,120.06364054629972,1228,90.85243363192183
1616548500,9054,7691,1358,0,5,7689,131.4412703862664,1358,89.36305903289156
1616548800,7096,5961,1128,2,5,5957,122.99024139667588,1128,84.28032018321512
1616549100,8025,6714,1201,2,108,6710,112.12114314455984,1201,90.32036303080757
1616549400,8954,7627,1321,2,4,7625,132.6937520218576,1321,88.99953406510238
1616549700,8045,6831,1204,1,9,6830,124.85482467057095,1204,86.41246400885932
1616550000,6533,5230,1193,3,107,5230,119.9049808158065,1193,88.83856719754118
1616550300,9197,7732,1458,0,7,7730,137.50258924105228,1458,94.66967935528108
1616550600,7136,6002,1126,1,7,5998,128.01435108925153,1126,88.74181971580822
1616550900,8190,6786,1290,2,112,6782,112.3707987073626,1290,86.25586253229987
1616551200,9003,7677,1320,1,5,7675,131.5092871009774,1320,91.71402348484823
1616551500,8066,6928,1132,1,5,6927,125.12608471680839,1132,82.43727296819793
1616551800,6538,5223,1206,4,105,5223,120.54813271427692,1206,89.08969637921491
1616552100,9103,7707,1389,0,7,7705,131.14733300886874,1389,90.44062011039105
1616552400,7122,5974,1136,3,9,5970,123.32101337241785,1136,81.72249823943662
1616552700,8062,6749,1198,4,111,6745,113.34429226587604,1198,87.76243196994987
1616553000,8996,7565,1424,1,6,7563,132.4337746264711,1424,92.47646231273397
1616553300,8075,6842,1219,1,13,6841,125.01634512498232,1219,84.52058517910868
1616553600,6529,5213,1206,3,107,5213,120.29038630986626,1206,87.84943974571576
1616553900,9086,7744,1333,1,8,7742,131.0654009515196,1333,89.2548343335834
1616554200,7144,6040,1091,1,12,6037,123.07951700623906,1091,81.20900580507177
