ix_id,scopes,regionality,cc,name,name_long
1,749,0.08811748998664887,US,Equinix Ashburn,Equinix Internet Exchange Ashburn
2,112,0.33035714285714285,US,Equinix Chicago,Equinix Internet Exchange Chicago
3,1,0.0,US,Equinix Dallas,Equinix Internet Exchange Dallas
4,94,0.0851063829787234,US,Equinix Los Angeles,Equinix Internet Exchange Los Angeles
5,35,0.3142857142857143,US,Equinix San Jose,Equinix Internet Exchange San Jose (Bay Area)
7,24,0.08333333333333333,US,Equinix Palo Alto,Equinix Internet Exchange Palo Alto
12,7,0.2857142857142857,US,Equinix New York,Equinix Internet Exchange New York
13,34,0.7352941176470589,US,SIX Seattle,Seattle Internet Exchange (MTU 1500)
14,22,0.7272727272727273,US,NYIIX New York,New York International Internet eXchange
17,25,0.04,US,Equinix Miami,Equinix Internet Exchange Miami
18,854,0.15339578454332553,GB,LINX LON1,London Internet Exchange Ltd.
21,1,1.0,AU,IX Australia (Perth WA),West Australian Internet Exchange (WAIX)
23,1,1.0,US,NYIIX Los Angeles,New York International Internet eXchange - Los Angeles
24,23,0.5652173913043478,CA,TorIX,Toronto Internet Exchange Community
26,1185,0.070042194092827,NL,AMS-IX,Amsterdam Internet Exchange
29,1,1.0,CH,Equinix Zurich,Equinix Internet Exchange Zurich
30,3,0.6666666666666666,JP,JPIX TOKYO,Japan Internet Exchange Tokyo
31,2053,0.06819288845591817,DE,DE-CIX Frankfurt,
33,2,0.5,CH,CIXP,CERN Internet eXchange Point
35,6,1.0,IT,MIX-IT,Milan Internet eXchange
42,37,0.3783783783783784,HK,HKIX,Hong Kong Internet Exchange
43,1,1.0,TW,TWIX,Taiwan Internet Exchange
48,3,0.6666666666666666,IE,INEX LAN1,Internet Neutral Exchange Association CLG
50,23,0.2608695652173913,AT,VIX,Vienna Internet Exchange
53,3,0.3333333333333333,GB,LONAP,London Access Point
55,16,0.125,HU,BiX,Budapest Internet eXchange
59,1,1.0,BE,BNIX,Belgian National Internet eXchange
60,15,0.9333333333333333,CH,SwissIX,SwissIX Internet Exchange
63,3,1.0,ES,ESPANIX Madrid Lower LAN,Espanix Lower LAN 2
64,31,0.16129032258064516,NL,NL-ix,Neutral Internet Exchange
