ix_id,org_id,name,name_long,cc,peers,peers_national,peers_international,peers_unknown,peers_seen,interfaces_seen,tr_count,dependencies,dependencies_national,dependencies_international,dependencies_unknown,dependent_peers,dependent_peers_national,dependent_peers_international,dependent_peers_unknown,peers_seen_r,dependencies_peers_r,peers_national_r,dependent_peers_r,dependent_peers_national_r
1,2,Equinix Ashburn,Equinix Internet Exchange Ashburn,US,339,149,181,9,233,266,857300,749,66,683,0,2,2,0,0,0.6873156342182891,2.2094395280235988,0.19469026548672566,0.0058997050147492625,1.0
2,2,Equinix Chicago,Equinix Internet Exchange Chicago,US,246,134,105,7,165,190,375465,112,37,75,0,2,1,1,0,0.6707317073170732,0.45528455284552843,0.15040650406504066,0.008130081300813009,0.5
3,2,Equinix Dallas,Equinix Internet Exchange Dallas,US,187,94,90,3,82,103,153322,1,0,1,0,0,0,0,0,0.4385026737967914,0.0053475935828877,0.0,0.0,0
4,2,Equinix Los Angeles,Equinix Internet Exchange Los Angeles,US,93,25,65,3,62,71,494382,94,8,86,0,1,0,1,0,0.6666666666666666,1.010752688172043,0.08602150537634409,0.010752688172043012,0.0
5,2,Equinix San Jose,Equinix Internet Exchange San Jose (Bay Area),US,214,73,134,7,98,110,394233,35,11,24,0,3,2,1,0,0.45794392523364486,0.16355140186915887,0.0514018691588785,0.014018691588785047,0.6666666666666666
7,2,Equinix Palo Alto,Equinix Internet Exchange Palo Alto,US,98,28,66,4,60,64,687733,24,2,22,0,0,0,0,0,0.6122448979591837,0.24489795918367346,0.02040816326530612,0.0,0
9,2,Equinix Atlanta,Equinix Internet Exchange Atlanta,US,25,8,16,1,7,7,679,0,0,0,0,0,0,0,0,0.28,0.0,0.0,0.0,0
10,2,Equinix Vienna (VA),Equinix Internet Exchange Vienna  VA,US,4,3,0,1,0,6,192,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
11,2,Equinix Seattle,Equinix Internet Exchange Seattle,US,30,8,20,2,5,7,1275,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.0,0.0,0
12,2,Equinix New York,Equinix Internet Exchange New York,US,124,39,81,4,73,85,122582,7,2,5,0,1,0,1,0,0.5887096774193549,0.056451612903225805,0.016129032258064516,0.008064516129032258,0.0
13,29,SIX Seattle,Seattle Internet Exchange (MTU 1500),US,355,193,159,3,228,260,385065,34,25,9,0,11,9,2,0,0.6422535211267606,0.09577464788732394,0.07042253521126761,0.030985915492957747,0.8181818181818182
14,32,NYIIX New York,New York International Internet eXchange,US,212,43,163,6,131,145,218526,22,16,6,0,0,0,0,0,0.6179245283018868,0.10377358490566038,0.07547169811320754,0.0,0
17,2,Equinix Miami,Equinix Internet Exchange Miami,US,168,30,129,9,72,76,236676,25,1,24,0,1,0,1,0,0.42857142857142855,0.1488095238095238,0.005952380952380952,0.005952380952380952,0.0
