ix_id,org_id,name,name_long,cc,peers,peers_national,peers_international,peers_unknown,peers_seen,interfaces_seen,tr_count,dependencies,dependencies_national,dependencies_international,dependencies_unknown,dependent_peers,dependent_peers_national,dependent_peers_international,dependent_peers_unknown,peers_seen_r,dependencies_peers_r,peers_national_r,dependent_peers_r,dependent_peers_national_r
1,2,Equinix Ashburn,Equinix Internet Exchange Ashburn,US,339,149,181,9,268,314,202651,402,31,371,0,5,5,0,0,0.7905604719764012,1.1858407079646018,0.09144542772861357,0.014749262536873156,1.0
2,2,Equinix Chicago,Equinix Internet Exchange Chicago,US,246,134,105,7,192,227,75733,18,9,9,0,2,1,1,0,0.7804878048780488,0.07317073170731707,0.036585365853658534,0.008130081300813009,0.5
3,2,Equinix Dallas,Equinix Internet Exchange Dallas,US,187,94,90,3,140,177,46580,12,4,8,0,0,0,0,0,0.7486631016042781,0.06417112299465241,0.0213903743315508,0.0,0
4,2,Equinix Los Angeles,Equinix Internet Exchange Los Angeles,US,93,25,65,3,73,83,40270,4,3,1,0,0,0,0,0,0.7849462365591398,0.043010752688172046,0.03225806451612903,0.0,0
5,2,Equinix San Jose,Equinix Internet Exchange San Jose (Bay Area),US,214,73,134,7,170,200,79202,14,10,4,0,2,2,0,0,0.794392523364486,0.06542056074766354,0.04672897196261682,0.009345794392523364,1.0
7,2,Equinix Palo Alto,Equinix Internet Exchange Palo Alto,US,98,28,66,4,70,75,33244,10,1,9,0,0,0,0,0,0.7142857142857143,0.10204081632653061,0.01020408163265306,0.0,0
9,2,Equinix Atlanta,Equinix Internet Exchange Atlanta,US,25,8,16,1,14,14,1208,0,0,0,0,0,0,0,0,0.56,0.0,0.0,0.0,0
10,2,Equinix Vienna (VA),Equinix Internet Exchange Vienna  VA,US,4,3,0,1,0,6,279,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
11,2,Equinix Seattle,Equinix Internet Exchange Seattle,US,30,8,20,2,15,18,1897,0,0,0,0,0,0,0,0,0.5,0.0,0.0,0.0,0
12,2,Equinix New York,Equinix Internet Exchange New York,US,124,39,81,4,92,110,79122,15,0,15,0,0,0,0,0,0.7419354838709677,0.12096774193548387,0.0,0.0,0
