ix_id,cc,num_peers,peer_countries,num_deps,num_deps_dep_no_peer,dependency_countries,both,peer_no_dep,dep_no_peer
1,US,339,14,749,126,48,9,5,39
2,US,246,5,112,46,25,2,3,23
3,US,187,4,1,1,1,0,4,1
4,US,93,6,94,73,16,3,3,13
5,US,214,9,35,23,16,1,8,15
7,US,98,10,24,14,8,4,6,4
9,US,25,1,0,0,0,0,1,0
10,US,4,1,0,0,0,0,1,0
11,US,30,2,0,0,0,0,2,0
12,US,124,6,7,4,3,1,5,2
13,US,355,11,34,3,5,3,8,2
14,US,212,17,22,1,5,4,13,1
17,US,168,21,25,6,11,5,16,6
18,GB,814,61,857,238,77,44,17,33
21,AU,88,3,1,0,1,1,2,0
22,US,153,3,0,0,0,0,3,0
23,US,28,5,1,0,1,1,4,0
24,CA,255,7,23,4,6,2,5,4
26,NL,800,63,1187,100,98,55,8,43
29,CH,44,3,1,0,1,1,2,0
30,JP,245,11,3,0,2,2,9,0
31,DE,1050,68,2055,442,94,60,8,34
33,CH,43,6,2,0,2,2,4,0
34,FR,32,3,0,0,0,0,3,0
35,IT,342,18,6,0,1,1,17,0
42,HK,290,21,37,3,9,6,15,3
43,TW,23,1,1,0,1,1,0,0
48,IE,99,4,3,0,1,1,3,0
50,AT,144,16,23,7,11,5,11,6
52,KR,82,6,0,0,0,0,6,0
53,GB,235,11,3,1,2,1,10,1
55,HU,71,8,16,12,10,3,5,7
59,BE,60,7,1,0,1,1,6,0
60,CH,224,10,15,0,1,1,9,0
62,ES,47,4,0,0,0,0,4,0
63,ES,145,6,3,0,1,1,5,0
64,NL,400,33,31,7,16,11,22,5
69,FR,74,3,2,0,1,1,2,0
70,SE,174,14,2,0,1,1,13,0
71,CZ,142,8,8,0,2,2,6,0
72,PT,48,6,0,0,0,0,6,0
73,DE,44,2,0,0,0,0,2,0
74,DE,166,18,0,0,0,0,18,0
76,NL,3,1,0,0,0,0,1,0
77,LU,1,1,0,0,0,0,1,0
78,DK,33,6,0,0,0,0,6,0
82,US,12,5,116,50,22,5,0,17
83,NO,60,5,0,0,0,0,5,0
84,SK,40,2,2,0,1,1,1,0
85,NL,16,2,0,0,0,0,2,0
87,DE,125,9,0,0,0,0,9,0
88,HK,14,4,0,0,0,0,4,0
89,US,15,1,1,0,1,1,0,0
91,DE,117,4,1,0,1,1,3,0
92,JP,20,6,3,0,2,2,4,0
93,SG,18,4,2,0,1,1,3,0
94,AU,218,12,44,22,19,5,7,14
95,JP,199,10,1,0,1,1,9,0
97,NZ,39,3,0,0,0,0,3,0
98,FI,44,5,0,0,0,0,5,0
100,RU,315,23,8,0,2,2,21,0
105,AU,21,2,0,0,0,0,2,0
107,RU,64,8,0,0,0,0,8,0
110,AU,10,1,0,0,0,0,1,0
111,AU,5,1,0,0,0,0,1,0
112,AU,3,1,0,0,0,0,1,0
114,AU,1,1,0,0,0,0,1,0
115,IT,102,4,2,0,1,1,3,0
119,BR,148,5,15,0,2,2,3,0
