asn,count,cc
1,5,BR;CA;FI;US;ZA
2,8,BR;BZ;DE;IN;PL;RU;UA;US
3,3,BR;PL;US
4,3,BR;PL;US
5,1,BR
6,1,US
7,1,GB
8,1,US
9,2,IN;US
11,1,ID
12,1,US
13,1,US
14,1,US
16,1,US
17,1,US
18,1,US
19,1,US
20,1,US
21,1,US
22,1,US
24,1,US
25,1,US
26,1,US
27,1,US
29,1,US
30,1,US
31,1,US
32,1,US
33,1,US
34,1,US
35,1,US
37,1,US
38,1,US
42,12,AR;CA;CH;DK;EE;FR;IQ;LU;MU;NC;SM;US
43,1,US
44,1,US
45,1,US
46,1,US
47,1,US
48,1,US
49,1,US
50,1,US
51,1,US
52,1,US
55,1,US
56,1,US
57,1,US
59,1,US
62,1,US
63,1,US
65,1,US
68,1,US
70,1,US
71,1,US
72,2,GB;US
73,1,US
75,1,US
77,1,US
78,1,US
81,1,US
82,1,US
84,1,US
85,1,US
87,1,US
88,1,US
89,1,US
91,1,US
92,1,US
93,1,US
97,1,US
98,1,US
100,1,US
101,1,US
102,1,US
103,1,US
104,1,US
106,1,US
108,1,US
109,3,CN;IL;US
111,1,US
112,1,US
116,1,US
118,1,US
121,1,US
122,1,US
125,2,IN;US
127,1,US
131,1,US
132,1,US
137,1,IT
138,1,US
140,1,US
147,1,US
149,1,US
153,1,US
156,1,US
157,1,US
158,8,AU;CH;DK;ES;FI;GB;SE;US
159,1,US
160,1,US
161,1,US
166,1,US
167,1,US
170,1,US
173,1,JP
174,33,AE;AR;AT;AU;BE;BG;BR;CA;CN;CY;CZ;DE;DK;ES;FR;GB;GY;HK;IE;IR;LV;NL;NZ;RO;RU;SC;SE;SG;SI;TR;UA;US;ZA
186,1,US
187,2,NP;US
188,1,US
190,1,US
194,1,US
195,1,US
196,1,US
202,1,US
203,7,BG;BR;CY;DE;EC;GB;US
205,1,US
206,1,US
209,4,CA;DE;HK;US
210,1,US
213,1,US
217,1,US
220,1,US
223,1,US
224,1,NO
225,1,US
226,1,US
228,1,US
229,1,US
231,1,US
237,1,US
239,1,CA
243,1,US
250,2,BE;DE
252,1,US
254,1,US
257,1,US
258,1,US
260,3,IT;NL;US
262,1,US
264,1,US
267,2,AU;US
268,1,US
270,2,RU;US
271,1,CA
272,1,US
273,1,US
275,1,US
278,1,MX
283,1,US
288,1,DE
289,1,US
291,1,US
292,1,US
293,1,US
297,1,US
299,1,US
300,1,US
301,1,DK
302,1,US
306,1,US
307,1,US
308,1,US
309,1,US
310,1,US
311,1,US
312,1,US
313,1,US
316,1,US
317,1,US
319,1,US
320,1,US
321,1,US
322,1,US
323,1,US
324,1,US
325,1,US
326,1,US
327,1,US
328,1,US
329,1,US
331,1,US
334,1,US
335,1,US
336,1,US
337,1,US
338,1,US
339,1,US
340,1,US
341,1,US
342,1,US
343,1,US
344,1,US
345,1,US
346,1,US
347,1,US
348,1,US
349,1,US
350,1,US
351,1,US
352,1,US
353,1,US
355,1,US
356,1,US
357,1,US
358,1,US
359,1,US
360,1,US
361,1,US
362,1,US
364,1,US
365,1,US
366,1,US
367,1,US
368,1,US
369,1,US
370,1,US
371,1,US
372,1,US
375,1,FI
376,1,CA
377,1,US
378,1,IL
383,1,US
385,1,US
386,1,US
391,1,US
398,1,US
399,1,US
400,1,US
409,2,NG;US
427,1,US
440,1,US
441,1,US
450,1,US
452,1,US
456,1,US
490,1,US
500,1,US
510,1,US
511,1,US
513,1,CH
514,1,US
518,1,US
531,1,US
542,1,CA
543,1,US
545,1,US
546,1,US
549,1,CA
553,2,DE;EU
555,1,US
557,1,US
559,2,CH;LI
560,1,US
565,1,FI
571,1,US
572,1,US
577,2,CA;US
589,1,US
596,1,US
598,1,US
600,1,US
603,2,CA;US
606,1,US
607,1,US
611,1,CA
615,1,US
616,1,US
619,1,US
627,1,US
634,1,US
636,1,US
637,1,US
647,1,US
656,1,US
664,1,US
665,1,US
668,1,US
670,1,US
671,1,US
672,1,US
673,1,US
675,1,US
676,1,AR
679,1,AT
680,4,DE;EU;GB;US
681,1,NZ
683,1,US
687,1,US
688,1,US
693,1,US
698,1,US
701,5,AR;CA;CH;FI;US
702,20,AT;BE;CH;CZ;DE;DK;ES;FI;FR;GB;GR;HU;IE;IT;NL;NO;PL;PT;SE;US
703,11,AU;GB;GU;HK;IN;JP;KR;SE;SG;TW;US
705,1,US
706,1,US
714,3,IE;SG;US
715,3,JP;MU;US
719,4,FI;NL;SE;US
721,1,US
722,1,US
744,1,US
745,1,US
747,1,US
749,3,CH;IT;US
760,1,AT
764,1,FI
766,1,ES
768,1,US
773,1,US
775,1,FR
776,1,FR
777,1,FR
780,1,US
781,1,FR
782,1,FR
784,1,US
786,3,GB;IE;RU
789,1,FR
792,2,SE;US
793,1,US
797,1,US
800,5,AU;CA;GB;US;ZA
802,1,CA
803,2,CA;US
806,1,CA
807,2,GB;US
808,1,CA
