ix_id,org_id,peer_asn,ix_cc,peer_cc,national
1,2,42,US,**,False
1,2,77,US,US,True
1,2,109,US,**,False
1,2,293,US,US,True
1,2,297,US,US,True
1,2,577,US,**,False
1,2,668,US,US,True
1,2,701,US,**,False
1,2,714,US,**,False
1,2,800,US,**,False
1,2,812,US,**,False
1,2,917,US,US,True
1,2,952,US,US,True
1,2,1239,US,**,False
1,2,1273,US,**,False
1,2,1424,US,None,None
1,2,1640,US,US,True
1,2,1820,US,**,False
1,2,1828,US,**,False
1,2,2497,US,**,False
1,2,2559,US,**,False
1,2,2603,US,**,False
1,2,2635,US,**,False
1,2,2647,US,US,True
1,2,2711,US,US,True
1,2,2828,US,**,False
1,2,2906,US,**,False
1,2,2914,US,**,False
1,2,3223,US,**,False
1,2,3292,US,**,False
1,2,3300,US,**,False
1,2,3303,US,**,False
1,2,3320,US,**,False
1,2,3630,US,US,True
1,2,3737,US,US,True
1,2,3856,US,US,True
1,2,4181,US,US,True
1,2,4229,US,**,False
1,2,4230,US,**,False
1,2,4455,US,**,False
1,2,4557,US,US,True
1,2,4637,US,**,False
1,2,4775,US,**,False
1,2,4826,US,**,False
1,2,4922,US,US,True
1,2,5400,US,**,False
1,2,5462,US,None,None
1,2,5650,US,US,True
1,2,6057,US,**,False
1,2,6059,US,US,True
1,2,6079,US,**,False
1,2,6128,US,US,True
1,2,6169,US,US,True
1,2,6181,US,US,True
1,2,6307,US,US,True
1,2,6447,US,None,None
1,2,6461,US,**,False
1,2,6507,US,**,False
1,2,6614,US,US,True
1,2,6762,US,**,False
1,2,6774,US,**,False
1,2,6830,US,**,False
1,2,6922,US,US,True
1,2,6939,US,**,False
1,2,7029,US,**,False
1,2,7195,US,**,False
1,2,7342,US,US,True
1,2,7713,US,**,False
1,2,7772,US,US,True
1,2,7784,US,US,True
1,2,7795,US,US,True
1,2,7843,US,US,True
1,2,7850,US,US,True
1,2,7862,US,US,True
1,2,8075,US,**,False
1,2,8220,US,**,False
1,2,8309,US,FR,False
1,2,8359,US,**,False
1,2,8360,US,**,False
1,2,8674,US,SE,False
1,2,8781,US,**,False
