member_asn,cc
42,**
714,**
917,US
1031,ZZ
1149,ZZ
1239,**
1251,BR
1828,**
1916,BR
2635,**
2688,**
2906,**
3303,**
3856,US
4230,**
4809,**
6057,**
6447,ZZ
6505,US
6507,**
6939,**
7048,BR
7049,**
7162,BR
7195,**
7738,BR
8055,BR
8075,**
8674,SE
8757,**
10099,**
10310,**
10362,BR
10733,BR
10906,BR
10954,BR
11014,AR
11019,**
11284,BR
11338,BR
11432,BR
11644,BR
11751,BR
11802,BR
11835,BR
11844,BR
11845,ZA
12136,BR
12654,NL
12684,**
12956,**
12989,**
13150,**
13335,**
13357,BR
13360,CA
13414,**
13495,BR
13786,**
14026,BR
14204,BR
14282,BR
14463,BR
14551,**
14571,BR
14593,**
14650,BR
14840,BR
14868,BR
15133,**
15169,**
15256,BR
15695,**
15830,**
16397,**
16509,**
16552,**
16685,BR
16735,BR
16921,**
17222,**
19551,**
19990,BR
20121,ZZ
20144,US
20940,**
21574,BR
21859,**
22177,BR
22250,BR
22356,BR
22381,BR
22548,BR
22616,**
22689,BR
23028,**
23074,BR
23105,BR
23106,BR
23352,**
24429,**
24482,**
25192,CZ
25605,US
25933,BR
26162,ZZ
26415,US
26609,BR
26615,BR
27688,BR
27693,BR
27715,BR
27720,BR
27768,**
28001,UY
28008,PY
28125,BR
28126,**
28127,BR
28130,BR
28131,BR
28135,BR
28140,BR
28142,BR
28143,BR
28145,BR
28146,BR
28152,BR
28153,BR
28154,BR
28158,BR
28161,BR
28163,BR
28165,**
28166,BR
28169,BR
28171,BR
28173,BR
28176,BR
28178,BR
28183,BR
28184,BR
28186,BR
28187,BR
28189,BR
28191,BR
28195,BR
28196,BR
28198,BR
28201,BR
28202,BR
28204,BR
28209,BR
28210,BR
28213,BR
28215,BR
28216,BR
28219,BR
28220,BR
28223,BR
28225,BR
28226,BR
28229,BR
28232,BR
28234,BR
28239,BR
28250,BR
28252,BR
28254,BR
28258,BR
28260,BR
28263,BR
28265,BR
28267,BR
28271,BR
28272,BR
28275,BR
28276,BR
28277,BR
28280,BR
28283,BR
28284,BR
28285,BR
28287,BR
28292,BR
28293,BR
28294,BR
28299,BR
28300,BR
28305,**
28306,BR
28309,BR
28327,BR
28329,BR
28330,BR
28334,BR
28335,BR
28338,BR
28343,BR
28349,BR
28352,BR
28359,BR
28360,BR
28361,BR
28368,BR
28370,BR
28571,BR
28573,**
28576,BR
28577,BR
28580,BR
28582,BR
28585,BR
28589,BR
28590,BR
28598,BR
28604,BR
28605,BR
28606,BR
28610,BR
28618,BR
28624,BR
28634,BR
28636,BR
28637,BR
28639,BR
28640,BR
28642,BR
28644,BR
28649,BR
28654,BR
28657,BR
28658,BR
28663,BR
28665,BR
28666,BR
28667,BR
28668,BR
28669,BR
28670,BR
30081,US
30103,**
30122,ZZ
31529,DE
31898,**
32098,**
32261,US
32590,**
32787,**
32934,**
33182,**
33353,**
33438,**
35280,**
36040,**
36236,**
36351,**
36692,US
37468,**
37721,BF
39120,**
40120,US
40627,**
40676,**
40850,ZZ
41095,**
42385,RU
42473,**
44444,**
46489,**
47065,**
47787,**
49544,**
52320,**
52444,AR
52455,PY
52468,**
52527,BR
52531,BR
52532,BR
52539,BR
52541,BR
52542,BR
52544,BR
52545,BR
52551,BR
52554,BR
52559,BR
52560,BR
52562,BR
52565,BR
52566,BR
52568,BR
52569,BR
52571,**
52573,BR
52579,BR
52580,BR
52593,BR
52600,BR
52611,BR
52613,BR
52622,BR
52630,BR
52631,BR
52634,BR
52637,BR
52639,BR
52640,BR
52643,BR
52648,BR
52654,BR
52655,BR
52656,BR
52660,BR
52662,BR
52674,BR
52675,BR
52680,BR
52682,BR
52683,BR
52686,BR
52688,BR
52689,BR
52694,BR
52696,BR
52699,BR
52706,BR
52711,BR
52712,BR
52714,BR
52716,BR
52720,BR
52721,BR
52726,ZZ
52729,BR
52736,ZZ
52739,**
52742,BR
52747,BR
52751,BR
52752,BR
52758,BR
52759,BR
52762,BR
52765,BR
52771,BR
52772,BR
52780,**
52786,BR
52787,BR
52788,BR
52795,BR
52814,BR
52817,BR
52818,BR
52820,BR
52821,BR
52824,BR
52827,BR
52836,ZZ
52838,BR
52840,BR
52842,BR
52848,BR
52850,BR
52861,BR
52862,BR
52863,BR
52866,BR
52871,BR
52872,BR
52873,BR
52878,BR
52887,BR
52888,BR
52890,BR
52901,BR
52908,BR
52913,BR
52920,BR
52924,BR
52925,BR
52930,BR
52932,BR
52935,BR
52938,BR
52940,BR
52941,BR
52944,BR
52951,BR
52965,BR
52968,BR
52971,BR
52973,BR
52974,BR
52977,BR
52978,BR
52980,BR
52981,BR
52984,BR
52989,BR
52991,BR
52997,BR
52999,BR
53001,BR
53003,BR
53005,BR
53008,BR
53010,BR
53013,**
53018,BR
53019,BR
53020,BR
53037,BR
53038,BR
53043,BR
53048,BR
53050,BR
53052,BR
53057,BR
53059,BR
53061,BR
53062,BR
53065,BR
53066,BR
53070,BR
53072,BR
53075,BR
53078,BR
53080,BR
53085,BR
53086,BR
53087,BR
53089,BR
53090,BR
53094,BR
53095,BR
53096,BR
53097,BR
53100,BR
53101,BR
53102,BR
53106,BR
53107,**
53108,BR
53111,BR
53112,BR
53114,ZZ
53115,BR
53116,BR
53119,BR
53121,BR
53122,BR
53123,BR
53130,BR
53133,BR
53137,BR
53139,BR
53140,BR
53141,BR
53143,BR
53147,BR
53152,BR
53154,BR
53155,BR
53156,BR
53158,BR
53160,BR
53162,BR
53165,BR
53166,BR
53169,BR
53171,BR
53175,BR
53178,BR
53180,**
53181,BR
53184,BR
53185,BR
53187,BR
53191,BR
53196,BR
53201,BR
53202,BR
53209,BR
53218,BR
53221,BR
53222,BR
53231,BR
53233,BR
53234,BR
53236,BR
53237,BR
53238,BR
53240,BR
53243,BR
53245,BR
53246,BR
54113,**
54825,US
54994,**
55195,**
55256,**
55259,**
57463,BG
57695,**
57811,PL
59930,AG
60068,**
60503,BR
60890,GB
61317,**
61512,PY
61568,BR
61573,BR
61580,**
61582,BR
61584,BR
61586,BR
61588,BR
61589,BR
61591,BR
61592,BR
61595,BR
61599,BR
61602,BR
61609,BR
61633,BR
61642,BR
61648,BR
61650,BR
61652,BR
61659,BR
61663,**
61666,BR
61672,BR
61676,BR
61678,BR
61684,BR
61686,BR
61689,BR
61696,BR
61700,BR
61704,BR
61709,BR
61717,BR
61726,**
61729,BR
61730,ZZ
61732,BR
61741,BR
61744,BR
61745,BR
61748,BR
61751,BR
61752,BR
61754,BR
61759,BR
61764,BR
61768,BR
61784,BR
61785,BR
61786,BR
61792,BR
61797,BR
61802,BR
61805,BR
61810,BR
61816,ZZ
61817,BR
61822,BR
61823,BR
61832,BR
61838,BR
61842,BR
61844,BR
61851,BR
61858,BR
61864,BR
61868,BR
61870,BR
61871,BR
61873,BR
61884,**
61888,BR
61890,BR
61893,BR
61895,BR
61900,BR
61901,BR
61906,BR
61910,BR
61918,BR
61922,BR
61923,BR
61924,BR
61928,BR
61935,BR
61940,BR
61941,BR
61942,BR
61948,BR
61951,BR
62597,**
63199,**
63399,US
64271,**
132203,**
136907,**
137831,SG
138915,**
139341,**
199330,GB
199524,**
262268,BR
262282,BR
262285,BR
262286,BR
262287,**
262288,BR
262290,BR
262293,BR
262296,BR
262300,BR
