ix_id,cc,asn,scopes,asn_count,interface_count
1,overview,general,749,46,0
1,overview,single,665,31,0
1,overview,unknown,0,0,0
1,overview,mixed,0,0,0
1,overview,multiple,84,25,0
1,**,general,9,0,0
1,**,unknown,0,0,0
1,**,mixed,0,0,0
1,**,multiple,2,4,0
1,**,52320,6,1,0
1,**,3303,1,1,0
1,AR,general,24,0,0
1,AR,unknown,0,0,0
1,AR,mixed,0,0,0
1,AR,multiple,1,2,0
1,AR,52320,23,1,0
1,AT,general,2,0,0
1,AT,unknown,0,0,0
1,AT,mixed,0,0,0
1,AT,multiple,0,0,0
1,AT,8220,1,1,0
1,AT,6939,1,1,0
1,AU,general,7,0,0
1,AU,unknown,0,0,0
1,AU,mixed,0,0,0
1,AU,multiple,2,2,0
1,AU,6939,5,1,0
1,BD,general,4,0,0
1,BD,unknown,0,0,0
1,BD,mixed,0,0,0
1,BD,multiple,0,0,0
1,BD,6939,4,1,0
1,BE,general,1,0,0
1,BE,unknown,0,0,0
1,BE,mixed,0,0,0
1,BE,multiple,0,0,0
1,BE,3292,1,1,0
1,BG,general,1,0,0
1,BG,unknown,0,0,0
1,BG,mixed,0,0,0
1,BG,multiple,0,0,0
1,BG,6939,1,1,0
1,BR,general,526,0,0
1,BR,unknown,0,0,0
1,BR,mixed,0,0,0
1,BR,multiple,60,5,0
1,BR,52320,466,1,0
1,BS,general,1,0,0
1,BS,unknown,0,0,0
1,BS,mixed,0,0,0
1,BS,multiple,0,0,0
1,BS,6939,1,1,0
1,CA,general,3,0,0
1,CA,unknown,0,0,0
1,CA,mixed,0,0,0
1,CA,multiple,0,0,0
1,CA,812,2,1,0
1,CA,917,1,1,0
1,CH,general,11,0,0
1,CH,unknown,0,0,0
1,CH,mixed,0,0,0
1,CH,multiple,2,3,0
1,CH,3303,9,1,0
1,CM,general,1,0,0
1,CM,unknown,0,0,0
1,CM,mixed,0,0,0
1,CM,multiple,1,2,0
1,CO,general,4,0,0
1,CO,unknown,0,0,0
1,CO,mixed,0,0,0
1,CO,multiple,0,0,0
1,CO,52320,2,1,0
1,CO,13335,1,1,0
1,CO,6939,1,1,0
1,CZ,general,2,0,0
1,CZ,unknown,0,0,0
1,CZ,mixed,0,0,0
1,CZ,multiple,0,0,0
1,CZ,6939,2,1,0
1,DE,general,4,0,0
1,DE,unknown,0,0,0
1,DE,mixed,0,0,0
1,DE,multiple,0,0,0
1,DE,8220,2,1,0
1,DE,6939,2,1,0
1,DK,general,10,0,0
1,DK,unknown,0,0,0
1,DK,mixed,0,0,0
1,DK,multiple,0,0,0
1,DK,3292,10,1,0
1,ES,general,1,0,0
1,ES,unknown,0,0,0
1,ES,mixed,0,0,0
1,ES,multiple,0,0,0
1,ES,6939,1,1,0
1,FR,general,1,0,0
1,FR,unknown,0,0,0
1,FR,mixed,0,0,0
1,FR,multiple,0,0,0
1,FR,8220,1,1,0
1,GB,general,4,0,0
1,GB,unknown,0,0,0
1,GB,mixed,0,0,0
1,GB,multiple,0,0,0
1,GB,10310,3,1,0
1,GB,5400,1,1,0
1,GR,general,1,0,0
1,GR,unknown,0,0,0
1,GR,mixed,0,0,0
1,GR,multiple,0,0,0
1,GR,32787,1,1,0
1,GT,general,1,0,0
1,GT,unknown,0,0,0
1,GT,mixed,0,0,0
1,GT,multiple,0,0,0
1,GT,6939,1,1,0
1,HR,general,1,0,0
1,HR,unknown,0,0,0
1,HR,mixed,0,0,0
1,HR,multiple,0,0,0
1,HR,6939,1,1,0
1,ID,general,5,0,0
1,ID,unknown,0,0,0
1,ID,mixed,0,0,0
1,ID,multiple,2,3,0
1,ID,6939,3,1,0
1,IL,general,1,0,0
1,IL,unknown,0,0,0
1,IL,mixed,0,0,0
1,IL,multiple,0,0,0
1,IL,6939,1,1,0
1,IM,general,1,0,0
1,IM,unknown,0,0,0
1,IM,mixed,0,0,0
1,IM,multiple,0,0,0
1,IM,35280,1,1,0
1,IN,general,2,0,0
1,IN,unknown,0,0,0
1,IN,mixed,0,0,0
1,IN,multiple,0,0,0
1,IN,15412,2,1,0
1,IT,general,12,0,0
1,IT,unknown,0,0,0
1,IT,mixed,0,0,0
1,IT,multiple,1,2,0
1,IT,3303,9,1,0
1,IT,5400,1,1,0
1,IT,8220,1,1,0
1,JP,general,1,0,0
1,JP,unknown,0,0,0
1,JP,mixed,0,0,0
1,JP,multiple,0,0,0
1,JP,2497,1,1,0
1,KR,general,1,0,0
1,KR,unknown,0,0,0
1,KR,mixed,0,0,0
1,KR,multiple,0,0,0
1,KR,15412,1,1,0
1,KW,general,3,0,0
1,KW,unknown,0,0,0
1,KW,mixed,0,0,0
1,KW,multiple,1,2,0
1,KW,8781,2,1,0
1,MM,general,1,0,0
1,MM,unknown,0,0,0
1,MM,mixed,0,0,0
1,MM,multiple,0,0,0
1,MM,6939,1,1,0
1,MX,general,2,0,0
1,MX,unknown,0,0,0
1,MX,mixed,0,0,0
1,MX,multiple,0,0,0
1,MX,32098,2,1,0
1,MY,general,1,0,0
1,MY,unknown,0,0,0
1,MY,mixed,0,0,0
1,MY,multiple,0,0,0
1,MY,6939,1,1,0
1,NL,general,1,0,0
1,NL,unknown,0,0,0
1,NL,mixed,0,0,0
1,NL,multiple,0,0,0
1,NL,49544,1,1,0
1,NZ,general,3,0,0
1,NZ,unknown,0,0,0
1,NZ,mixed,0,0,0
1,NZ,multiple,0,0,0
1,NZ,6939,3,1,0
1,PH,general,1,0,0
1,PH,unknown,0,0,0
1,PH,mixed,0,0,0
1,PH,multiple,0,0,0
1,PH,15412,1,1,0
1,PK,general,2,0,0
