ix_id,cc,asn,scopes,asn_count,interface_count
1,overview,general,402,32,0
1,overview,single,391,23,0
1,overview,unknown,0,0,0
1,overview,mixed,0,0,0
1,overview,multiple,11,15,0
1,**,general,4,0,0
1,**,unknown,0,0,0
1,**,mixed,0,0,0
1,**,multiple,0,0,0
1,**,52320,2,1,0
1,**,297,1,1,0
1,**,35280,1,1,0
1,AR,general,8,0,0
1,AR,unknown,0,0,0
1,AR,mixed,0,0,0
1,AR,multiple,0,0,0
1,AR,52320,8,1,0
1,AT,general,1,0,0
1,AT,unknown,0,0,0
1,AT,mixed,0,0,0
1,AT,multiple,0,0,0
1,AT,8220,1,1,0
1,AU,general,1,0,0
1,AU,unknown,0,0,0
1,AU,mixed,0,0,0
1,AU,multiple,0,0,0
1,AU,4826,1,1,0
1,BE,general,1,0,0
1,BE,unknown,0,0,0
1,BE,mixed,0,0,0
1,BE,multiple,0,0,0
1,BE,8220,1,1,0
1,BR,general,344,0,0
1,BR,unknown,0,0,0
1,BR,mixed,0,0,0
1,BR,multiple,9,10,0
1,BR,52320,334,1,0
1,BR,267613,1,1,0
1,CO,general,3,0,0
1,CO,unknown,0,0,0
1,CO,mixed,0,0,0
1,CO,multiple,0,0,0
1,CO,52320,3,1,0
1,DE,general,1,0,0
1,DE,unknown,0,0,0
1,DE,mixed,0,0,0
1,DE,multiple,0,0,0
1,DE,8220,1,1,0
1,ES,general,1,0,0
1,ES,unknown,0,0,0
1,ES,mixed,0,0,0
1,ES,multiple,0,0,0
1,ES,8220,1,1,0
1,FR,general,2,0,0
1,FR,unknown,0,0,0
1,FR,mixed,0,0,0
1,FR,multiple,0,0,0
1,FR,8220,1,1,0
1,FR,35280,1,1,0
1,MX,general,1,0,0
1,MX,unknown,0,0,0
1,MX,mixed,0,0,0
1,MX,multiple,0,0,0
1,MX,32098,1,1,0
1,PY,general,1,0,0
1,PY,unknown,0,0,0
1,PY,mixed,0,0,0
1,PY,multiple,0,0,0
1,PY,52320,1,1,0
1,RO,general,1,0,0
1,RO,unknown,0,0,0
1,RO,mixed,0,0,0
1,RO,multiple,0,0,0
1,RO,3303,1,1,0
1,US,general,31,0,0
1,US,unknown,0,0,0
1,US,mixed,0,0,0
1,US,multiple,2,6,0
1,US,32425,3,1,0
1,US,12083,7,1,0
1,US,668,2,1,0
1,US,4922,1,1,0
1,US,399728,1,1,0
1,US,297,4,1,0
1,US,11164,1,1,0
1,US,7795,1,1,0
1,US,5650,2,1,0
1,US,6169,1,1,0
1,US,26744,1,1,0
1,US,6939,1,1,0
1,US,19009,1,1,0
1,US,7029,1,1,0
1,US,6079,1,1,0
1,US,64213,1,1,0
1,VE,general,2,0,0
1,VE,unknown,0,0,0
1,VE,mixed,0,0,0
1,VE,multiple,0,0,0
1,VE,52320,2,1,0
2,overview,general,18,7,0
2,overview,single,18,7,0
2,overview,unknown,0,0,0
2,overview,mixed,0,0,0
2,overview,multiple,0,0,0
2,AT,general,1,0,0
2,AT,unknown,0,0,0
2,AT,mixed,0,0,0
2,AT,multiple,0,0,0
2,AT,8220,1,1,0
2,CA,general,2,0,0
2,CA,unknown,0,0,0
2,CA,mixed,0,0,0
2,CA,multiple,0,0,0
2,CA,393891,1,1,0
2,CA,803,1,1,0
2,CH,general,1,0,0
2,CH,unknown,0,0,0
2,CH,mixed,0,0,0
2,CH,multiple,0,0,0
2,CH,8220,1,1,0
2,FR,general,1,0,0
2,FR,unknown,0,0,0
2,FR,mixed,0,0,0
2,FR,multiple,0,0,0
2,FR,8220,1,1,0
2,GB,general,1,0,0
2,GB,unknown,0,0,0
2,GB,mixed,0,0,0
2,GB,multiple,0,0,0
2,GB,8220,1,1,0
2,IT,general,1,0,0
2,IT,unknown,0,0,0
2,IT,mixed,0,0,0
2,IT,multiple,0,0,0
2,IT,8220,1,1,0
2,JP,general,1,0,0
2,JP,unknown,0,0,0
2,JP,mixed,0,0,0
2,JP,multiple,0,0,0
2,JP,8220,1,1,0
2,SG,general,1,0,0
2,SG,unknown,0,0,0
2,SG,mixed,0,0,0
2,SG,multiple,0,0,0
2,SG,8220,1,1,0
2,US,general,9,0,0
2,US,unknown,0,0,0
2,US,mixed,0,0,0
2,US,multiple,0,0,0
2,US,19310,1,1,0
2,US,600,5,1,0
2,US,53597,2,1,0
2,US,26223,1,1,0
3,overview,general,12,5,3
3,overview,single,9,4,0
3,overview,unknown,2,0,2
3,overview,mixed,1,1,0
3,overview,multiple,0,0,0
3,BD,general,1,0,0
3,BD,unknown,0,0,0
3,BD,mixed,0,0,0
3,BD,multiple,0,0,0
3,BD,3223,1,1,0
3,CH,general,1,0,0
3,CH,unknown,0,0,0
3,CH,mixed,0,0,0
3,CH,multiple,0,0,0
3,CH,8220,1,1,0
3,GB,general,1,0,0
3,GB,unknown,0,0,0
3,GB,mixed,0,0,0
3,GB,multiple,0,0,0
3,GB,8220,1,1,0
3,MD,general,1,0,0
3,MD,unknown,0,0,0
3,MD,mixed,0,0,0
3,MD,multiple,0,0,0
3,MD,3223,1,1,0
3,MX,general,2,0,0
3,MX,unknown,0,0,0
3,MX,mixed,0,0,0
3,MX,multiple,0,0,0
3,MX,17072,2,1,0
3,PS,general,1,0,0
3,PS,unknown,0,0,0
3,PS,mixed,0,0,0
3,PS,multiple,0,0,0
3,PS,3223,1,1,0
3,TR,general,1,0,0
3,TR,unknown,0,0,0
3,TR,mixed,0,0,0
3,TR,multiple,0,0,0
3,TR,3223,1,1,0
3,US,general,4,0,0
3,US,unknown,2,0,2
3,US,mixed,1,1,1
3,US,multiple,0,0,0
3,US,6939,1,1,0
4,overview,general,4,3,0
4,overview,single,3,2,0
4,overview,unknown,0,0,0
4,overview,mixed,0,0,0
4,overview,multiple,1,2,0
4,KR,general,1,0,0
4,KR,unknown,0,0,0
4,KR,mixed,0,0,0
4,KR,multiple,0,0,0
4,KR,4766,1,1,0
4,US,general,3,0,0
4,US,unknown,0,0,0
4,US,mixed,0,0,0
4,US,multiple,1,2,0
4,US,2152,2,1,0
5,overview,general,14,9,0
5,overview,single,14,9,0
5,overview,unknown,0,0,0
5,overview,mixed,0,0,0
5,overview,multiple,0,0,0
5,**,general,1,0,0
5,**,unknown,0,0,0
5,**,mixed,0,0,0
5,**,multiple,0,0,0
5,**,35280,1,1,0
5,CH,general,2,0,0
5,CH,unknown,0,0,0
5,CH,mixed,0,0,0
5,CH,multiple,0,0,0
5,CH,8220,2,1,0
5,LV,general,1,0,0
5,LV,unknown,0,0,0
5,LV,mixed,0,0,0
5,LV,multiple,0,0,0
5,LV,35280,1,1,0
5,US,general,10,0,0
5,US,unknown,0,0,0
5,US,mixed,0,0,0
5,US,multiple,0,0,0
5,US,46276,1,1,0
5,US,32614,1,1,0
5,US,2152,4,1,0
5,US,46375,1,1,0
5,US,20115,1,1,0
5,US,29791,1,1,0
5,US,46450,1,1,0
7,overview,general,10,5,0
7,overview,single,10,5,0
7,overview,unknown,0,0,0
7,overview,mixed,0,0,0
7,overview,multiple,0,0,0
7,AU,general,4,0,0
7,AU,unknown,0,0,0
7,AU,mixed,0,0,0
7,AU,multiple,0,0,0
7,AU,7575,4,1,0
7,ID,general,4,0,0
7,ID,unknown,0,0,0
7,ID,mixed,0,0,0
7,ID,multiple,0,0,0
7,ID,4761,2,1,0
7,ID,38158,2,1,0
7,NZ,general,1,0,0
7,NZ,unknown,0,0,0
7,NZ,mixed,0,0,0
7,NZ,multiple,0,0,0
7,NZ,4648,1,1,0
7,US,general,1,0,0
7,US,unknown,0,0,0
7,US,mixed,0,0,0
7,US,multiple,0,0,0
7,US,5650,1,1,0
12,overview,general,15,6,0
12,overview,single,15,6,0
12,overview,unknown,0,0,0
12,overview,mixed,0,0,0
12,overview,multiple,0,0,0
12,CA,general,6,0,0
12,CA,unknown,0,0,0
12,CA,mixed,0,0,0
12,CA,multiple,0,0,0
12,CA,6327,5,1,0
12,CA,54825,1,1,0
12,CH,general,2,0,0
12,CH,unknown,0,0,0
12,CH,mixed,0,0,0
12,CH,multiple,0,0,0
12,CH,13030,2,1,0
12,DK,general,4,0,0
12,DK,unknown,0,0,0
12,DK,mixed,0,0,0
12,DK,multiple,0,0,0
12,DK,3292,4,1,0
12,ES,general,1,0,0
12,ES,unknown,0,0,0
12,ES,mixed,0,0,0
12,ES,multiple,0,0,0
12,ES,13030,1,1,0
12,PH,general,1,0,0
12,PH,unknown,0,0,0
12,PH,mixed,0,0,0
12,PH,multiple,0,0,0
12,PH,9304,1,1,0
12,RU,general,1,0,0
12,RU,unknown,0,0,0
12,RU,mixed,0,0,0
12,RU,multiple,0,0,0
12,RU,3216,1,1,0
13,overview,general,17,16,0
13,overview,single,13,10,0
13,overview,unknown,0,0,0
13,overview,mixed,0,0,0
13,overview,multiple,4,7,0
13,**,general,1,0,0
13,**,unknown,0,0,0
13,**,mixed,0,0,0
13,**,multiple,1,3,0
13,ID,general,1,0,0
13,ID,unknown,0,0,0
13,ID,mixed,0,0,0
13,ID,multiple,0,0,0
13,ID,55818,1,1,0
13,US,general,15,0,0
13,US,unknown,0,0,0
13,US,mixed,0,0,0
13,US,multiple,3,5,0
13,US,23175,1,1,0
13,US,101,1,1,0
13,US,13335,1,1,0
13,US,36149,1,1,0
13,US,20055,2,1,0
13,US,395823,2,1,0
13,US,27008,2,1,0
13,US,17017,1,1,0
13,US,55193,1,1,0
14,overview,general,97,21,0
14,overview,single,95,19,0
14,overview,unknown,0,0,0
14,overview,mixed,0,0,0
14,overview,multiple,2,3,0
14,**,general,4,0,0
14,**,unknown,0,0,0
14,**,mixed,0,0,0
14,**,multiple,0,0,0
14,**,29838,1,1,0
14,**,20473,1,1,0
14,**,13768,1,1,0
14,**,4230,1,1,0
14,BR,general,17,0,0
14,BR,unknown,0,0,0
14,BR,mixed,0,0,0
14,BR,multiple,2,3,0
14,BR,13786,5,1,0
14,BR,7195,1,1,0
14,BR,4230,9,1,0
14,CA,general,4,0,0
14,CA,unknown,0,0,0
14,CA,mixed,0,0,0
14,CA,multiple,0,0,0
14,CA,6327,2,1,0
14,CA,13768,1,1,0
14,CA,7311,1,1,0
14,CN,general,1,0,0
14,CN,unknown,0,0,0
14,CN,mixed,0,0,0
14,CN,multiple,0,0,0
14,CN,20473,1,1,0
14,FI,general,1,0,0
14,FI,unknown,0,0,0
14,FI,mixed,0,0,0
14,FI,multiple,0,0,0
14,FI,6667,1,1,0
14,FR,general,2,0,0
14,FR,unknown,0,0,0
14,FR,mixed,0,0,0
14,FR,multiple,0,0,0
14,FR,20473,2,1,0
14,RU,general,2,0,0
14,RU,unknown,0,0,0
14,RU,mixed,0,0,0
14,RU,multiple,0,0,0
14,RU,31649,1,1,0
14,RU,9002,1,1,0
14,SC,general,1,0,0
14,SC,unknown,0,0,0
14,SC,mixed,0,0,0
14,SC,multiple,0,0,0
14,SC,20473,1,1,0
14,US,general,65,0,0
14,US,unknown,0,0,0
14,US,mixed,0,0,0
14,US,multiple,0,0,0
14,US,6128,51,1,0
14,US,6327,1,1,0
14,US,27552,3,1,0
14,US,11796,1,1,0
14,US,29791,1,1,0
14,US,19151,2,1,0
14,US,17378,2,1,0
14,US,46450,1,1,0
14,US,20473,2,1,0
14,US,13536,1,1,0
17,overview,general,16,7,0
17,overview,single,15,5,0
17,overview,unknown,0,0,0
17,overview,mixed,0,0,0
17,overview,multiple,1,2,0
17,BR,general,10,0,0
17,BR,unknown,0,0,0
17,BR,mixed,0,0,0
17,BR,multiple,0,0,0
17,BR,52320,9,1,0
17,BR,16735,1,1,0
17,CH,general,1,0,0
17,CH,unknown,0,0,0
17,CH,mixed,0,0,0
17,CH,multiple,0,0,0
17,CH,3303,1,1,0
17,MX,general,1,0,0
17,MX,unknown,0,0,0
17,MX,mixed,0,0,0
17,MX,multiple,0,0,0
17,MX,32098,1,1,0
17,PY,general,1,0,0
17,PY,unknown,0,0,0
17,PY,mixed,0,0,0
17,PY,multiple,0,0,0
17,PY,52320,1,1,0
17,RO,general,1,0,0
17,RO,unknown,0,0,0
17,RO,mixed,0,0,0
17,RO,multiple,0,0,0
17,RO,3303,1,1,0
17,US,general,2,0,0
17,US,unknown,0,0,0
17,US,mixed,0,0,0
17,US,multiple,1,2,0
17,US,6939,1,1,0
18,overview,general,1142,309,2
18,overview,single,780,222,0
18,overview,unknown,0,0,0
18,overview,mixed,3,5,0
18,overview,multiple,359,213,0
18,**,general,84,0,0
18,**,unknown,0,0,0
18,**,mixed,0,0,0
18,**,multiple,31,67,0
18,**,35266,2,1,0
18,**,3170,1,1,0
18,**,45014,2,1,0
18,**,212655,1,1,0
18,**,9050,1,1,0
18,**,8708,3,1,0
18,**,3741,3,1,0
18,**,201838,1,1,0
18,**,16247,1,1,0
18,**,13237,3,1,0
18,**,30844,1,1,0
18,**,17660,1,1,0
18,**,39356,2,1,0
18,**,39122,1,1,0
18,**,20473,1,1,0
18,**,37662,2,1,0
18,**,200612,1,1,0
18,**,31122,1,1,0
18,**,44735,1,1,0
18,**,37468,1,1,0
18,**,8220,1,1,0
18,**,25369,1,1,0
18,**,9498,1,1,0
18,**,48945,1,1,0
18,**,25160,1,1,0
18,**,60610,1,1,0
18,**,9002,2,1,0
18,**,15830,1,1,0
18,**,61049,1,1,0
18,**,61231,1,1,0
18,**,29119,1,1,0
18,**,60171,1,1,0
18,**,41354,1,1,0
18,**,31472,1,1,0
18,**,42455,1,1,0
18,**,21396,1,1,0
18,**,61337,1,1,0
18,**,202282,1,1,0
18,**,56595,1,1,0
18,**,6461,1,1,0
18,**,34119,1,1,0
18,**,5607,1,1,0
18,AE,general,3,0,0
18,AE,unknown,0,0,0
18,AE,mixed,0,0,0
18,AE,multiple,0,0,0
18,AE,15802,1,1,0
18,AE,59605,1,1,0
18,AE,8455,1,1,0
18,AG,general,1,0,0
18,AG,unknown,0,0,0
18,AG,mixed,0,0,0
18,AG,multiple,0,0,0
18,AG,31500,1,1,0
18,AM,general,1,0,0
18,AM,unknown,0,0,0
18,AM,mixed,0,0,0
18,AM,multiple,0,0,0
18,AM,8932,1,1,0
18,AO,general,1,0,0
18,AO,unknown,0,0,0
18,AO,mixed,0,0,0
18,AO,multiple,1,6,0
18,AT,general,4,0,0
18,AT,unknown,0,0,0
18,AT,mixed,0,0,0
18,AT,multiple,1,2,0
18,AT,1921,1,1,0
18,AT,32787,1,1,0
18,AT,8220,1,1,0
18,AU,general,9,0,0
18,AU,unknown,0,0,0
18,AU,mixed,0,0,0
18,AU,multiple,1,4,0
18,AU,60610,1,1,0
18,AU,15412,2,1,0
18,AU,20860,1,1,0
18,AU,6461,2,1,0
18,AU,4637,1,1,0
